Title,Metascore,Userscore,Platform,Release_date,Genre,Developer,Publisher,Image
Darius Cozmic Collection: Arcade,74,,,"Jun 16, 2020",Miscellaneous,ININ Games,ININ Games,https://static.metacritic.com/images/products/games/2/d96c42435d456e1677cfc44f51a5c361-98.jpg
Fist of the North Star: Lost Paradise,72,7.7,,"Oct  2, 2018",Action,Sega,Sega,https://static.metacritic.com/images/products/games/8/034f13334959e300f568731c566bafae-98.jpg
Ancestors: The Humankind Odyssey,70,,,"Dec  6, 2019",Action Adventure,Panache Digital Games,Panache Digital Games,https://static.metacritic.com/images/products/games/5/18350c273b8f531849d535b27fdcc712-98.jpg
Sonic Mania Plus,87,7.9,,"Jul 17, 2018",Action,Sega,Sega,https://static.metacritic.com/images/products/games/4/2e95365b2c8822f4a88654bef572771e-98.jpg
Ninja Gaiden: Master Collection,73,,,"Jun 10, 2021",Miscellaneous,Koei Tecmo Games,Koei Tecmo Games,https://static.metacritic.com/images/products/games/8/d7d5585201ef0e49fd1c61c242039a45-98.jpg
Salt and Sanctuary,84,8.1,,"Mar 15, 2016",Action,Ska Studios,Ska Studios,https://static.metacritic.com/images/products/games/3/a1ac161a1b5c07cfcd3cac8aa3622231-98.jpg
Pac-Man Museum+,72,,,"May 27, 2022",Miscellaneous,Bandai Namco Games,Bandai Namco Games,https://static.metacritic.com/images/products/games/5/a5666f6368cf200bb651087bf63de1f2-98.jpg
Dark Souls Remastered,84,8.1,,"May 25, 2018",Role-Playing,Bandai Namco Games,Bandai Namco Games,https://static.metacritic.com/images/products/games/8/2ec1c663e93bfeb14dfd38febe522e58-98.jpg
Hitman - Episode 6: Hokkaido,81,,,"Oct 31, 2016",Action Adventure,Square Enix,Square Enix,https://static.metacritic.com/images/products/games/6/cc4858f1b73e76ea49bb1582978b8504-98.jpg
The Legend of Heroes: Trails to Azure,81,8.0,,"Mar 14, 2023",Role-Playing,NIS America,NIS America,https://static.metacritic.com/images/products/games/2/ca0f6184ea39279631d37bdec666319a-98.jpg
Fuser,81,,,"Nov 10, 2020",Action,NCSOFT,NCSOFT,https://static.metacritic.com/images/products/games/4/b87d2f93971790d096750a65343a7bd4-98.jpg
Danganronpa V3: Killing Harmony,81,7.5,,"Sep 26, 2017",Action,NIS America,NIS America,https://static.metacritic.com/images/products/games/5/597b80511ab18add1def3dd824fe351a-98.jpg
Prey,79,8.2,,"May  5, 2017",General,Bethesda Softworks,Bethesda Softworks,https://static.metacritic.com/images/products/games/7/8b7b8e773375ec6c4fb6c5c52182c6eb-98.jpg
20XX,77,,,"Jul 10, 2018",Action,Fire Hose Games,Fire Hose Games,https://static.metacritic.com/images/products/games/0/da63b0daae88a2e308bfcbb57ebf1c0d-98.jpg
Sega Genesis Classics,75,,,"May 29, 2018",Miscellaneous,Sega,Sega,https://static.metacritic.com/images/products/games/1/41780a589b8d7c34f6dad650cfeb182c-98.jpg
Aragami: Shadow Edition,80,,,"Jun  5, 2018",Action Adventure,Lince Works,Lince Works,https://static.metacritic.com/images/products/games/8/8abaa02561589241fae38080f53a1c14-98.jpg
Songbird Symphony,81,,,"Jul 25, 2019",Action,PQube,PQube,https://static.metacritic.com/images/products/games/4/069c9110f566bd83a13865ee63e9d1f6-98.jpg
Insurgency: Sandstorm,78,,,"Sep 29, 2021",Action,Focus Home Interactive,Focus Home Interactive,https://static.metacritic.com/images/products/games/6/972bdfce2342fc8cf296fe28bc4f28f4-98.jpg
Capcom Arcade 2nd Stadium,78,,,"Jul 22, 2022",Miscellaneous,Capcom,Capcom,https://static.metacritic.com/images/products/games/8/46b69c2e82ee52969ca76d30d5923707-98.jpg
Little Red Lie,77,,,"Jan  9, 2018",Adventure,WZOGI,WZOGI,https://static.metacritic.com/images/products/games/4/1ae0bdb0f6f4055e56338cf600230abd-98.jpg
Lost Orbit,77,,,"May 12, 2015",Action,PixelNAUTS,PixelNAUTS,https://static.metacritic.com/images/products/games/3/d3fbf747fd960d91a5eed3f4741d4d9a-98.jpg
Atelier Sophie: The Alchemist of the Mysterious Book,75,7.7,,"Jun  7, 2016",Role-Playing,Koei Tecmo Games,Koei Tecmo Games,https://static.metacritic.com/images/products/games/5/719299af111bdd4abfecf015b45f587b-98.jpg
Bulletstorm: Full Clip Edition,75,,,"Apr  7, 2017",Action,Epic Games,Epic Games,https://static.metacritic.com/images/products/games/9/ebf33fafa3f1034575bd3f958a16bdc6-98.jpg
Typoman: Revised,75,,,"Feb 21, 2017",Action,Brainseed Factory,Brainseed Factory,https://static.metacritic.com/images/products/games/7/f93fdf4c9875d144abd244ec00aef8f3-98.jpg
Life is Strange: Episode 1 - Chrysalis,75,8.1,,"Jan 30, 2015",Action Adventure,Square Enix,Square Enix,https://static.metacritic.com/images/products/games/4/3fa0dc2187f06b71f823af332513b808-98.jpg
Resident Evil: Revelations 2 - Episode 2: Contemplation,75,,,"Mar  3, 2015",Action Adventure,Capcom,Capcom,https://static.metacritic.com/images/products/games/2/a5e85001a412f21f58639e28a536b12c-98.jpg
Red Faction: Guerrilla Re-Mars-tered,70,,,"Jul  3, 2018",Action,THQ Nordic,THQ Nordic,https://static.metacritic.com/images/products/games/8/41aaf566ecc48bb2db332edc68053790-98.jpg
Steep: The X Games Pass,75,,,"Oct 30, 2018",Sports,Ubisoft,Ubisoft,https://static.metacritic.com/images/products/games/3/07f7c99bc19712eafa2e38ef9ebdf079-98.jpg
Deiland,70,,,"May  3, 2018",Action Adventure,Chibig,Chibig,https://static.metacritic.com/images/products/games/5/55ef92db220a4e544ce7fad3aef205a7-98.jpg
Dead Star,70,,,"Apr  5, 2016",Action,Armature Studio,Armature Studio,https://static.metacritic.com/images/products/games/9/1005ddefc3d8cadacb0dfbb376791ba6-98.jpg
Infinifactory,70,9.2,,"Dec 22, 2015",Puzzle,Zachtronics Industries,Zachtronics Industries,https://static.metacritic.com/images/products/games/2/7fe886054fa0e3b36a8883c1a9202af0-98.jpg
Octodad: Dadliest Catch,69,,,"Apr 22, 2014",Modern,"Young Horses, Inc","Young Horses, Inc",https://static.metacritic.com/images/products/games/7/d06c6ada3bbb0e577d90b1b7721e8d98-98.jpg
Future Unfolding,69,,,"May 16, 2017",Action Adventure,Spaces of Play,Spaces of Play,https://static.metacritic.com/images/products/games/4/a072960e4bab46400fa6cb55520b1774-98.jpg
Far Cry 3: Classic Edition,70,8.0,,"Jun 26, 2018",Action,Ubisoft,Ubisoft,https://static.metacritic.com/images/products/games/7/7d75d34e220df7450ecd77ded82e0537-98.jpg
Dynasty Warriors 8: Xtreme Legends Complete Edition,69,8.0,,"Mar 25, 2014",Action,Tecmo Koei Games,Tecmo Koei Games,https://static.metacritic.com/images/products/games/6/227108ba07c8a9772a672c3310486227-98.jpg
Giraffe and Annika,70,,,"Aug 25, 2020",Adventure,NIS America,NIS America,https://static.metacritic.com/images/products/games/5/2177231227523b9f1e9b45db32de2d12-98.jpg
